   2100.000     -0.7507815       1.339136    
   2200.000     -0.8123106       1.237602    
   2300.000     -0.8745092       1.147345    
   2400.000     -0.9377069       1.066733    
   2500.000      -1.002333      0.9944233    
   2600.000      -1.068918      0.9292994    
   2700.000      -1.138112      0.8704284    
   2800.000      -1.210709      0.8170257    
   2900.000      -1.287695      0.7684265    
   3000.000      -1.370315      0.7240654    
   3100.000      -1.460130      0.6838658    
   3200.000      -1.559300      0.6469802    
   3300.000      -1.670806      0.6130488    
   3400.000      -1.798953      0.5817597    
   3500.000      -1.950297      0.5528417    
   3600.000      -2.135570      0.5260576    
   3700.000      -2.374165      0.5011997    
   3800.000      -2.706851      0.4780851    
   3900.000      -3.245576      0.4565523    
   3941.000      -3.606858      0.4481473    
   3946.000      -3.661873      0.4471384    
   3951.000      -3.720167      0.4461330    
   3956.000      -3.782141      0.4451309    
   3961.000      -3.848261      0.4441323    
   3966.000      -3.919099      0.4431370    
   3971.000      -3.995337      0.4421452    
   3976.000      -4.077834      0.4411567    
   3981.000      -4.167648      0.4401716    
   3986.000      -4.266149      0.4391897    
   3991.000      -4.375103      0.4382113    
   3996.000      -4.496901      0.4372361    
   4000.000      -4.605744      0.4364583    
   4001.000      -4.634816      0.4362642    
   4006.000      -4.793585      0.4352956    
   4011.000      -4.980347      0.4343302    
   4016.000      -5.206635      0.4333681    
   4021.000      -5.493058      0.4324092    
   4026.000      -5.881924      0.4314535    
   4031.000      -6.485795      0.4305010    
   4036.000      -7.877524      0.4295518    
   4041.000      -7.498599       4.053229    
   4046.000      -6.327899       4.043897    
   4051.000      -5.750349       4.034608    
   4056.000      -5.361984       4.025364    
   4061.000      -5.068298       4.016164    
   4066.000      -4.831643       4.007006    
   4071.000      -4.633221       3.997891    
   4076.000      -4.462238       3.988818    
   4081.000      -4.311938       3.979789    
   4086.000      -4.177767       3.970801    
   4091.000      -4.056561       3.961855    
   4096.000      -3.946001       3.952950    
   4100.000      -3.864041       3.945857    
   4101.000      -3.844354       3.944088    
   4106.000      -3.750257       3.935266    
   4111.000      -3.662662       3.926484    
   4116.000      -3.580718       3.917743    
   4121.000      -3.503743       3.909044    
   4126.000      -3.431151       3.900384    
   4131.000      -3.362474       3.891763    
   4136.000      -3.297310       3.883182    
   4200.000      -2.668720       3.776744    
   4300.000      -2.067775       3.622229    
   4400.000      -1.670688       3.480695    
   4500.000      -1.379530       3.350744    
   4600.000      -1.153625       3.231165    
   4700.000     -0.9718658       3.120899    
   4800.000     -0.8217841       3.019024    
   4900.000     -0.6953596       2.924729    
   5000.000     -0.5871072       2.837300    
   5100.000     -0.4931023       2.756107    
   5200.000     -0.4104326       2.680592    
   5300.000     -0.2754498       2.604360    
   5400.000     -0.2061608       2.526306    
   5500.000     -0.1446382       2.451700    
   5600.000     -8.9809231E-02   2.380339    
   5700.000     -4.0794410E-02   2.312037    
   5800.000      3.1376737E-03   2.246617    
   5900.000      4.2600680E-02   2.183918    
   6000.000      7.8115180E-02   2.123791    
   6100.000      0.1101256       2.066093    
   6200.000      0.1390141       2.010696    
   6300.000      0.1651114       1.957476    
   6400.000      0.1887053       1.906321    
   6500.000      0.2100499       1.857124    
   6600.000      0.2288072       1.809794    
   6700.000      0.2462921       1.764232    
   6800.000      0.2621141       1.720347    
   6900.000      0.2764264       1.678058    
   7000.000      0.2893659       1.637287    
   7100.000      0.3010549       1.597961    
   7200.000      0.3116028       1.560014    
   7300.000      0.3211083       1.523381    
   7400.000      0.3296601       1.488001    
   7500.000      0.3373381       1.453819    
   7600.000      0.3442149       1.420779    
   7700.000      0.3503561       1.388832    
   7800.000      0.3558215       1.357929    
   7900.000      0.3606652       1.328027    
   8000.000      0.3649367       1.299080    
   8100.000      0.3679688       1.271062    
   8200.000      0.3712188       1.243959    
   8300.000      0.3730708       1.217710    
   8400.000      0.3754711       1.192272    
   8500.000      0.3774925       1.167607    
   8600.000      0.3791637       1.143685    
   8700.000      0.3805112       1.120476    
   8800.000      0.3815596       1.097951    
   8900.000      0.3823314       1.076085    
   9000.000      0.3827766       1.054896    
   9100.000      0.3829919       1.034321    
   9200.000      0.3829953       1.014337    
   9300.000      0.3828029      0.9949211    
   9400.000      0.3824300      0.9760517    
   9500.000      0.3818906      0.9577081    
   9600.000      0.3811975      0.9398713    
   9700.000      0.3803627      0.9225226    
   9800.000      0.3793972      0.9056441    
   9900.000      0.3783115      0.8892192    
   10000.00      0.3771150      0.8732313    
   10100.00      0.3758164      0.8576652    
   10200.00      0.3744241      0.8425063    
   10300.00      0.3729457      0.8277402    
   10400.00      0.3713881      0.8133535    
   10500.00      0.3697581      0.7993333    
   10600.00      0.3680616      0.7856671    
   10700.00      0.3663045      0.7723433    
   10800.00      0.3644920      0.7593502    
   10900.00      0.3626290      0.7466772    
   11000.00      0.3607202      0.7343136    
   11100.00      0.3587697      0.7222495    
   11200.00      0.3567817      0.7104754    
   11300.00      0.3547597      0.6989819    
   11400.00      0.3527073      0.6877604    
   11500.00      0.3506278      0.6768019    
   11600.00      0.3484846      0.6660988    
   11700.00      0.3463591      0.6556430    
   11800.00      0.3442148      0.6454269    
   11900.00      0.3420541      0.6354432    
   12000.00      0.3398795      0.6256849    
